word	change (%)	opm BASE	opm INST	significant
gdp_NOUN	642.22	0.61	4.52	False
fragmented_ADJ	642.22	0.61	4.52	True
sacrifice_NOUN	642.22	0.61	4.52	False
rewarding_ADJ	642.22	0.61	4.52	False
neurochemical_ADJ	642.22	0.61	4.52	False
repatriation_NOUN	642.22	0.61	4.52	True
mast_ADJ	642.22	0.61	4.52	False
vlp_NOUN	642.22	0.61	4.52	False
oligomerization_NOUN	642.22	1.22	9.04	True
logger_NOUN	642.22	0.61	4.52	False
ann_NOUN	642.22	0.61	4.52	False
cnn_NOUN	642.22	0.61	4.52	False
ordination_NOUN	642.22	0.61	4.52	True
conservationist_NOUN	642.22	0.61	4.52	False
shunting_NOUN	642.22	0.61	4.52	True
magnetoresistive_ADJ	642.22	0.61	4.52	True
scrub_NOUN	642.22	0.61	4.52	False
topsoil_NOUN	642.22	0.61	4.52	True
multitaske_VERB	642.22	0.61	4.52	True
dication_NOUN	642.22	0.61	4.52	False
lapping_ADJ	642.22	0.61	4.52	True
decentralized_ADJ	642.22	0.61	4.52	False
beneficiary_NOUN	642.22	1.83	13.56	True
biotope_NOUN	642.22	1.22	9.04	True
nuance_NOUN	642.22	0.61	4.52	True
biogenic_ADJ	642.22	0.61	4.52	False
nmol_NOUN	642.22	0.61	4.52	True
dissatisfaction_NOUN	642.22	0.61	4.52	False
decellularization_NOUN	642.22	0.61	4.52	True
chow_NOUN	642.22	0.61	4.52	True
outreach_NOUN	642.22	0.61	4.52	True
cma_NOUN	642.22	0.61	4.52	False
sedimentary_ADJ	642.22	0.61	4.52	False
yolk_NOUN	642.22	0.61	4.52	True
carrying_NOUN	642.22	0.61	4.52	True
chiropractic_ADJ	642.22	1.22	9.04	True
reorganize_VERB	642.22	0.61	4.52	False
h37rv_NOUN	642.22	0.61	4.52	True
audiological_ADJ	642.22	0.61	4.52	True
ontogenic_ADJ	642.22	0.61	4.52	True
intersectionality_NOUN	642.22	0.61	4.52	True
undifferentiated_ADJ	642.22	0.61	4.52	True
oversight_NOUN	642.22	0.61	4.52	False
cemetery_NOUN	642.22	0.61	4.52	False
biophysic_NOUN	642.22	0.61	4.52	False
rbp_NOUN	642.22	0.61	4.52	True
rapice_NOUN	642.22	0.61	4.52	False
publishing_NOUN	642.22	0.61	4.52	False
reusability_NOUN	642.22	0.61	4.52	False
tqd_NOUN	642.22	0.61	4.52	True
upgrading_NOUN	642.22	0.61	4.52	True
icu_ADJ	642.22	0.61	4.52	False
sweet_ADJ	642.22	0.61	4.52	False
illuminant_ADJ	642.22	0.61	4.52	False
tourist_NOUN	642.22	0.61	4.52	True
lime_NOUN	642.22	0.61	4.52	True
starve_VERB	642.22	0.61	4.52	False
wetting_NOUN	642.22	0.61	4.52	False
