239	s7q114h5migh	29	0	89298
241	wt9a07t6qpvx	7	1	47344
242	affu8jv396kp	27	0	14158
248	affu8jv396kp	5	0	22329
254	pvdcoybuflns	20	0	64130
255	j2elfdbngadx	12	0	145809
257	8iqq47uu6ztd	11	0	185296
260	arr4rivtafw0	2	1	124417
262	dp43ydsxu2kf	28	1	102205
263	dp43ydsxu2kf	24	1	37081
266	s7q114h5migh	7	1	75809
267	affu8jv396kp	8	0	33651
270	dp43ydsxu2kf	6	1	53962
271	ri425ah7uo4i	22	1	138858
273	wt9a07t6qpvx	6	1	69544
274	pvdcoybuflns	18	1	60172
276	dp43ydsxu2kf	7	0	17883
283	s7q114h5migh	6	0	73780
284	affu8jv396kp	14	1	56687
285	wt9a07t6qpvx	18	1	51027
287	dp43ydsxu2kf	30	1	41496
290	pvdcoybuflns	19	0	58657
292	arr4rivtafw0	24	0	121091
295	ri425ah7uo4i	3	0	92277
296	wt9a07t6qpvx	27	0	40799
300	j2elfdbngadx	13	0	151606
303	affu8jv396kp	4	0	58286
304	s7q114h5migh	26	1	60561
306	pvdcoybuflns	28	0	46776
317	8iqq47uu6ztd	26	0	83975
318	xjzis1umcpvi	30	1	130485
319	s7q114h5migh	5	1	39363
323	wt9a07t6qpvx	28	1	67854
325	pvdcoybuflns	3	0	51990
329	s7q114h5migh	12	1	24647
330	affu8jv396kp	11	1	82644
331	s7q114h5migh	20	1	21220
332	ri425ah7uo4i	25	1	107507
334	j2elfdbngadx	5	1	107171
335	pvdcoybuflns	4	1	55695
336	s7q114h5migh	23	1	27662
337	8iqq47uu6ztd	10	1	81782
341	ri425ah7uo4i	4	0	37720
346	affu8jv396kp	28	0	51810
348	dp43ydsxu2kf	5	1	150799
351	arr4rivtafw0	12	1	139080
354	affu8jv396kp	7	0	27098
355	wt9a07t6qpvx	16	1	36363
357	pvdcoybuflns	10	0	56644
360	8iqq47uu6ztd	15	1	57783
361	j2elfdbngadx	1	0	94979
362	affu8jv396kp	6	0	30279
365	xjzis1umcpvi	11	1	162348
368	pvdcoybuflns	7	0	45334
373	8b2i3njli5b2	5	0	106322
377	s7q114h5migh	8	1	127779
379	dp43ydsxu2kf	29	1	82699
382	wt9a07t6qpvx	19	1	48399
384	8iqq47uu6ztd	5	0	87333
386	pvdcoybuflns	27	1	55366
387	arr4rivtafw0	14	1	116235
395	wt9a07t6qpvx	1	1	42231
396	j2elfdbngadx	2	0	113250
401	dp43ydsxu2kf	18	1	67184
404	affu8jv396kp	19	1	47592
407	ri425ah7uo4i	28	0	224040
408	8b2i3njli5b2	29	0	121257
